symbol,price,signal,target,stop,strategy,confidence,risk_reward,position_size,expected_loss,time
BTCIRT,111565.436378,sell,110449.782014,112681.090742,RSI>70,0.7,1.0,0.008963,9.99961,2025-10-15T13:54:08.790366
ETHIRT,4059.363833,sell,4018.770195,4099.957471,RSI>70,0.7,1.0,0.246344,9.999999,2025-10-15T13:54:09.257946
BNBIRT,1173.999197,sell,1156.389209,1191.609185,MAfast<MAslow,0.6,1.0,0.56786,10.000008,2025-10-15T13:54:09.660202
XRPIRT,2.468936,buy,2.50597,2.431902,MAfast>MAslow,0.6,1.0,270.02185,9.999989,2025-10-15T13:54:10.215802
DOGEIRT,0.199812,buy,0.202809,0.196815,MAfast>MAslow,0.6,1.0,3336.469615,9.999399,2025-10-15T13:54:10.682735
BTCIRT,111565.436378,sell,110449.782014,112681.090742,RSI>70,0.7,1.0,0.008963,9.99961,2025-10-15T13:54:12.153438
ETHIRT,4059.363833,sell,4018.770195,4099.957471,RSI>70,0.7,1.0,0.246344,9.999999,2025-10-15T13:54:12.648761
BNBIRT,1173.999197,sell,1156.389209,1191.609185,MAfast<MAslow,0.6,1.0,0.56786,10.000008,2025-10-15T13:54:13.127914
XRPIRT,2.468936,buy,2.50597,2.431902,MAfast>MAslow,0.6,1.0,270.02185,9.999989,2025-10-15T13:54:13.590615
DOGEIRT,0.199812,buy,0.202809,0.196815,MAfast>MAslow,0.6,1.0,3336.469615,9.999399,2025-10-15T13:54:14.081534
BTCIRT,111491.353119,buy,113163.723416,109818.982822,MAfast>MAslow,0.6,1.0,0.00598,10.000774,2025-10-15T13:54:15.908865
ETHIRT,4059.363833,sell,4018.770195,4099.957471,RSI>70,0.7,1.0,0.246344,9.999999,2025-10-15T13:54:16.355148
BNBIRT,1174.998989,sell,1163.248999,1186.748979,RSI>70,0.7,1.0,0.851065,10.000005,2025-10-15T13:54:16.826035
XRPIRT,2.468936,buy,2.50597,2.431902,MAfast>MAslow,0.6,1.0,270.02185,9.999989,2025-10-15T13:54:17.738171
DOGEIRT,0.199821,buy,0.202818,0.196824,MAfast>MAslow,0.6,1.0,3336.319339,9.998949,2025-10-15T13:54:18.236240
BTCIRT,111491.353119,buy,113163.723416,109818.982822,MAfast>MAslow,0.6,1.0,0.00598,10.000774,2025-10-15T13:54:20.478187
ETHIRT,4044.046919,buy,4104.707623,3983.386215,MAfast>MAslow,0.6,1.0,0.164851,9.999978,2025-10-15T13:54:20.961261
BNBIRT,1174.998989,sell,1163.248999,1186.748979,RSI>70,0.7,1.0,0.851065,10.000005,2025-10-15T13:54:21.378596
XRPIRT,2.468936,buy,2.50597,2.431902,MAfast>MAslow,0.6,1.0,270.02185,9.999989,2025-10-15T13:54:21.862074
DOGEIRT,0.199876,buy,0.202874,0.196878,MAfast>MAslow,0.6,1.0,3335.401282,9.999533,2025-10-15T13:54:22.328344
BTCIRT,111561.825846,buy,113235.253234,109888.398458,MAfast>MAslow,0.6,1.0,0.005976,10.000402,2025-10-15T13:54:23.794915
ETHIRT,4044.046919,buy,4104.707623,3983.386215,MAfast>MAslow,0.6,1.0,0.164851,9.999978,2025-10-15T13:54:24.486587
BNBIRT,1174.998989,sell,1163.248999,1186.748979,RSI>70,0.7,1.0,0.851065,10.000005,2025-10-15T13:54:24.949131
XRPIRT,2.468936,buy,2.493625,2.444247,RSI<30,0.7,1.0,405.032775,9.999854,2025-10-15T13:54:25.594609
DOGEIRT,0.199876,sell,0.196878,0.202874,MAfast<MAslow,0.6,1.0,3335.401282,9.999533,2025-10-15T13:54:26.425500
BTCIRT,111561.825846,buy,113235.253234,109888.398458,MAfast>MAslow,0.6,1.0,0.005976,10.000402,2025-10-15T13:54:27.898143
ETHIRT,4044.046919,sell,3983.386215,4104.707623,MAfast<MAslow,0.6,1.0,0.164851,9.999978,2025-10-15T13:54:28.360974
BNBIRT,1174.998989,sell,1163.248999,1186.748979,RSI>70,0.7,1.0,0.851065,10.000005,2025-10-15T13:54:28.844097
XRPIRT,2.468936,buy,2.493625,2.444247,RSI<30,0.7,1.0,405.032775,9.999854,2025-10-15T13:54:29.337226
DOGEIRT,0.199876,sell,0.196878,0.202874,MAfast<MAslow,0.6,1.0,3335.401282,9.999533,2025-10-15T13:54:29.845066
BTCIRT,111561.825846,buy,113235.253234,109888.398458,MAfast>MAslow,0.6,1.0,0.005976,10.000402,2025-10-15T13:54:31.305032
ETHIRT,4044.04756,sell,3983.386847,4104.708273,MAfast<MAslow,0.6,1.0,0.164851,9.999979,2025-10-15T13:54:31.681681
BNBIRT,1175.062628,sell,1163.312002,1186.813254,RSI>70,0.7,1.0,0.851018,9.999994,2025-10-15T13:54:32.212095
XRPIRT,2.46907,buy,2.493761,2.444379,RSI<30,0.7,1.0,405.010794,10.000122,2025-10-15T13:54:32.695225
DOGEIRT,0.199887,sell,0.196889,0.202885,MAfast<MAslow,0.6,1.0,3335.217731,9.998983,2025-10-15T13:54:33.154006
BTCIRT,111567.868136,buy,113241.386158,109894.350114,MAfast>MAslow,0.6,1.0,0.005975,9.99927,2025-10-15T13:54:34.702218
ETHIRT,4044.266589,sell,3983.60259,4104.930588,MAfast<MAslow,0.6,1.0,0.164842,9.999975,2025-10-15T13:54:35.143859
BNBIRT,1175.062628,sell,1163.312002,1186.813254,RSI>70,0.7,1.0,0.851018,9.999994,2025-10-15T13:54:35.649960
XRPIRT,2.468936,sell,2.431902,2.50597,MAfast<MAslow,0.6,1.0,270.02185,9.999989,2025-10-15T13:54:36.081206
DOGEIRT,0.199876,buy,0.201875,0.197877,RSI<30,0.7,1.0,5003.101923,10.001201,2025-10-15T13:54:36.562359
BTCIRT,111484.56253,buy,113156.830968,109812.294092,MAfast>MAslow,0.6,1.0,0.00598,10.000165,2025-10-15T13:54:38.222868
ETHIRT,4044.04756,buy,4084.488036,4003.607084,RSI<30,0.7,1.0,0.247277,10.0,2025-10-15T13:54:41.787973
BNBIRT,1174.998989,sell,1163.248999,1186.748979,RSI>70,0.7,1.0,0.851065,10.000005,2025-10-15T13:54:42.281328
XRPIRT,2.471201,sell,2.446489,2.495913,RSI>70,0.7,1.0,404.661539,9.999996,2025-10-15T13:54:42.745171
DOGEIRT,0.199876,buy,0.201875,0.197877,RSI<30,0.7,1.0,5003.101923,10.001201,2025-10-15T13:54:43.214860
BTCIRT,111484.56253,buy,113156.830968,109812.294092,MAfast>MAslow,0.6,1.0,0.00598,10.000165,2025-10-15T13:54:44.989876
ETHIRT,4044.04756,buy,4084.488036,4003.607084,RSI<30,0.7,1.0,0.247277,10.0,2025-10-15T13:54:45.512609
BNBIRT,1174.998989,sell,1163.248999,1186.748979,RSI>70,0.7,1.0,0.851065,10.000005,2025-10-15T13:54:46.004888
XRPIRT,2.471201,sell,2.446489,2.495913,RSI>70,0.7,1.0,404.661539,9.999996,2025-10-15T13:54:46.484224
DOGEIRT,0.199876,sell,0.197877,0.201875,RSI>70,0.7,1.0,5003.101923,10.001201,2025-10-15T13:54:46.846412
BTCIRT,111561.825846,buy,113235.253234,109888.398458,MAfast>MAslow,0.6,1.0,0.005976,10.000402,2025-10-15T13:54:48.309016
ETHIRT,4044.048164,buy,4084.488646,4003.607682,RSI<30,0.7,1.0,0.247277,10.000001,2025-10-15T13:54:48.765144
BNBIRT,1174.998989,sell,1163.248999,1186.748979,RSI>70,0.7,1.0,0.851065,10.000005,2025-10-15T13:54:49.220368
XRPIRT,2.471201,sell,2.446489,2.495913,RSI>70,0.7,1.0,404.661539,9.999996,2025-10-15T13:54:49.678998
DOGEIRT,0.199887,sell,0.197888,0.201886,RSI>70,0.7,1.0,5002.826597,10.00065,2025-10-15T13:54:50.128005
BTCIRT,111567.868136,buy,113241.386158,109894.350114,MAfast>MAslow,0.6,1.0,0.005975,9.99927,2025-10-15T13:54:51.605135
ETHIRT,4044.267194,buy,4084.709866,4003.824522,RSI<30,0.7,1.0,0.247264,10.000017,2025-10-15T13:54:52.074062
BNBIRT,1175.062628,sell,1163.312002,1186.813254,RSI>70,0.7,1.0,0.851018,9.999994,2025-10-15T13:54:52.567370
XRPIRT,2.471335,sell,2.446622,2.496048,RSI>70,0.7,1.0,404.639598,9.999858,2025-10-15T13:54:52.950595
DOGEIRT,0.199887,sell,0.197888,0.201886,RSI>70,0.7,1.0,5002.826597,10.00065,2025-10-15T13:54:53.317466
BTCIRT,111491.366803,buy,113163.737305,109818.996301,MAfast>MAslow,0.6,1.0,0.00598,10.000776,2025-10-15T13:54:54.816695
ETHIRT,4044.048164,buy,4084.488646,4003.607682,RSI<30,0.7,1.0,0.247277,10.000001,2025-10-15T13:54:55.192587
BNBIRT,1174.998998,sell,1163.249008,1186.748988,RSI>70,0.7,1.0,0.851065,10.000005,2025-10-15T13:54:55.637078
XRPIRT,2.471201,sell,2.446489,2.495913,RSI>70,0.7,1.0,404.661539,9.999996,2025-10-15T13:54:56.010728
DOGEIRT,0.200229,sell,0.198227,0.202231,RSI>70,0.7,1.0,4994.281548,9.998552,2025-10-15T13:54:56.495556
BTCIRT,111570.509059,buy,113244.066695,109896.951423,MAfast>MAslow,0.6,1.0,0.005975,9.999507,2025-10-15T13:54:57.979736
ETHIRT,4044.559306,buy,4085.004899,4004.113713,RSI<30,0.7,1.0,0.247246,10.000011,2025-10-15T13:54:58.427348
BNBIRT,1175.1475,sell,1163.396025,1186.898975,RSI>70,0.7,1.0,0.850957,10.0,2025-10-15T13:54:58.898711
XRPIRT,2.471514,sell,2.446799,2.496229,RSI>70,0.7,1.0,404.610292,9.999943,2025-10-15T13:54:59.491009
DOGEIRT,0.200181,sell,0.198179,0.202183,RSI>70,0.7,1.0,4995.479091,10.000949,2025-10-15T13:55:01.309920
BTCIRT,111543.3213,buy,113216.471119,109870.17148,MAfast>MAslow,0.6,1.0,0.005977,10.000416,2025-10-15T13:55:02.852834
