Date,Open,High,Low,Close,VolumeFrom,VolumeTo,symbol
2025-10-14 07:00:00,7.31e-06,7.36e-06,7.2e-06,7.25e-06,2135008571832.99,15521350.19,PEPE
2025-10-14 08:00:00,7.25e-06,7.35e-06,7.21e-06,7.28e-06,1394198703569.0,10132766.2,PEPE
2025-10-14 09:00:00,7.28e-06,7.35e-06,7.27e-06,7.3e-06,970197974555.87,7093631.52,PEPE
2025-10-14 10:00:00,7.3e-06,7.31e-06,7.11e-06,7.22e-06,2401824399502.79,17295850.23,PEPE
2025-10-14 11:00:00,7.22e-06,7.32e-06,7.21e-06,7.26e-06,1939171619680.83,14086416.34,PEPE
2025-10-14 12:00:00,7.26e-06,7.27e-06,7.14e-06,7.16e-06,1417181667242.1,10206496.52,PEPE
2025-10-14 13:00:00,7.16e-06,7.26e-06,7.06e-06,7.22e-06,2935694691891.24,21026729.41,PEPE
2025-10-14 14:00:00,7.22e-06,7.33e-06,7.18e-06,7.25e-06,2321980010428.96,16849534.9,PEPE
2025-10-14 15:00:00,7.25e-06,7.46e-06,7.2e-06,7.45e-06,2191311655390.5,16102768.66,PEPE
2025-10-14 16:00:00,7.45e-06,7.57e-06,7.36e-06,7.39e-06,2558119991910.73,19085348.91,PEPE
2025-10-14 17:00:00,7.39e-06,7.49e-06,7.29e-06,7.44e-06,1616976114318.74,11991323.15,PEPE
2025-10-14 18:00:00,7.44e-06,7.52e-06,7.42e-06,7.48e-06,808547129687.98,6041647.22,PEPE
2025-10-14 19:00:00,7.48e-06,7.53e-06,7.32e-06,7.42e-06,1711479372435.52,12683893.08,PEPE
2025-10-14 20:00:00,7.42e-06,7.48e-06,7.38e-06,7.47e-06,491321284249.29,3653180.84,PEPE
2025-10-14 21:00:00,7.47e-06,7.49e-06,7.4e-06,7.48e-06,455467689653.25,3391182.12,PEPE
2025-10-14 22:00:00,7.48e-06,7.52e-06,7.45e-06,7.49e-06,396409847420.0,2969518.13,PEPE
2025-10-14 23:00:00,7.49e-06,7.55e-06,7.48e-06,7.52e-06,425178229173.83,3199824.82,PEPE
2025-10-15 00:00:00,7.52e-06,7.53e-06,7.44e-06,7.5e-06,730169950521.78,5461325.42,PEPE
2025-10-15 01:00:00,7.5e-06,7.51e-06,7.4e-06,7.46e-06,788411402710.98,5867928.26,PEPE
2025-10-15 02:00:00,7.46e-06,7.55e-06,7.46e-06,7.49e-06,566785705952.0,4254668.42,PEPE
